Datacenter Name, Total IPs
Amazon AWS,26338208
Microsoft Azure,9035309
Akamai,8145728
SoftLayer,1903104
Cloudflare Inc,1786880
Google App Engine,1703680
"ThePlanet.com Internet Services, Inc.",1638656
PEER 1,1462288
Ubiquity Server Solutions,1441792
Rackspace,1350658
OVH,1090048
21vianet,794624
GoDaddy.com Inc,635912
Hetzner Online AG,632064
ColoCrossing,452608
1&1 Internet,368640
Hurricane Electric,359424
C I Host,352256
Leaseweb,345344
infinitie.net,313344
Psychz Networks,296960
HostMySite.com,280320
hostnoc,278528
Choopa,270424
SingleHop,266240
DigitalOcean USA,261120
iWeb Technologies Inc.,245760
Fortress Integrated Technologies,237568
FDC Servers,229376
KW Datacenter CA,216064
GoGrid,204800
latisys,202752
Linode,193536
Liquid Web,192512
WebsiteWelcome.com,192512
Pair Networks,188416
Host Europe,179328
Layered Technologies Inc,178176
Fastly,177156
ServerCentral,172032
xservers.ro,168960
Dreamhost,167936
IP Exchange GmbH,165376
Bluehost.com,164864
ServiHosting Networks S.L.,163840
Strato,163840
hostwinds.com,161792
Peak10,155912
servermania.com,155648
QuadraNet,153600
Datapipe,151040
American Internet Services,147456
plusserver.de,147456
hosting.ua,144384
Colocation America Inc,143360
VPLS Inc. d/b/a Krypt Technologies,143360
everhost,141312
colo4dallas.com,139264
1000dedi.net,131072
Enzu USA,131072
Dedibox SAS,130304
Optimate Server,122880
Hostway,120576
kinx.net,110592
Secure Servers,110592
trueserver.nl,109824
Media Temple,106608
cari.net,106496
iomart Hosting Ltd,105984
HopOne,102400
steadfast.net,102400
accelerated.de,99840
The Endurance International Group Inc,99328
Webair Internet Development Inc,98816
Voxel,97535
root S.A.,94720
multacom.com,91136
EGIHosting.com,90112
Limestone Networks,90112
Radore Hosting,90112
WholeSale Internet Inc,90112
GoGrid LLC,86784
Canaca-com Inc.,86016
LightEdge,86016
Zenlayer,86016
Limelight Networks Inc,84480
Fasthosts Internet Ltd,81920
Peak Web Hosting,80384
SharkTECH Internet Services,79872
demos,78592
BlueConnex,78080
Data 102,73728
Datapoint,73728
OVH FR,73472
panamaserver.com,72960
ServInt,70656
alog,69632
MojoHost,69632
WebNX Internet Services,69632
DigitalOcean Singapore,65536
OVH CA,65536
Star-Hosting e.K.,65536
unitedcolo.de,65536
Razor,63488
LINK11 Gmbh,61440
Portlane,61440
acens Technologies S.L.,59392
Midphase,59392
Webfusion,58368
Redstation Limited,58032
cyberwurx.com,57344
DimeNOC,57344
MESH,57344
InterServer.net,56320
Jumpline Inc,53248
thorn.net,53248
Total Server Solutions,53248
wehostwebsites.com,53248
UK2 Group,52480
Staminus Communications,52224
Data Shack,51200
DigitalOcean Netherlands,51200
simcentric,50176
Reliable Hosting,48192
easyhost.be,46112
ColoStore,45056
wiredtree,44032
ecritel.net,41984
